0,21,202,31,208,26,0,19,152,41,25,17,10,7,1,1,26,19,2,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,8
1,21,202,31,208,26,0,16,128,34,20,14,8,10,1,1,26,16,4,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,8
2,21,202,31,208,26,0,13,104,27,16,11,7,13,1,1,26,13,6,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,8
3,21,202,31,208,26,0,9,72,17,10,7,4,17,1,1,26,9,8,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,8
4,25,235,31,359,44,7,34,272,77,47,32,20,10,1,1,44,34,4,0,0,0,0,1,6,18,0,0,0,0,0,10,9,8,8
5,25,235,31,359,44,7,28,224,63,38,26,16,16,1,1,44,28,8,0,0,0,0,1,6,18,0,0,0,0,0,10,9,8,8
6,25,235,31,359,44,7,22,176,48,29,20,12,22,1,1,44,22,11,0,0,0,0,1,6,18,0,0,0,0,0,10,9,8,8
7,25,235,31,359,44,7,16,128,34,20,14,8,28,1,1,44,16,14,0,0,0,0,1,6,18,0,0,0,0,0,10,9,8,8
8,29,243,31,567,70,7,55,440,127,77,53,32,15,1,1,70,55,7,0,0,0,0,1,6,22,0,0,0,0,0,10,9,8,8
9,29,243,31,567,70,7,44,352,101,61,42,26,26,1,1,70,44,13,0,0,0,0,1,6,22,0,0,0,0,0,10,9,8,8
10,29,243,31,567,70,7,34,272,77,47,32,20,36,1,2,35,17,9,0,0,0,0,1,6,22,0,0,0,0,0,10,9,8,8
11,29,243,31,567,70,7,26,208,58,35,24,15,44,1,2,35,13,11,0,0,0,0,1,6,22,0,0,0,0,0,10,9,8,8
12,33,251,31,807,100,7,80,640,187,114,78,48,20,1,1,100,80,10,0,0,0,0,1,6,26,0,0,0,0,0,10,9,8,8
13,33,251,31,807,100,7,64,512,149,90,62,38,36,1,2,50,32,9,0,0,0,0,1,6,26,0,0,0,0,0,10,9,8,8
14,33,251,31,807,100,7,48,384,111,67,46,28,52,1,2,50,24,13,0,0,0,0,1,6,26,0,0,0,0,0,10,9,8,8
15,33,251,31,807,100,7,36,288,82,50,34,21,64,1,4,25,9,8,0,0,0,0,1,6,26,0,0,0,0,0,10,9,8,8
16,37,259,31,1079,134,7,108,864,255,154,106,65,26,1,1,134,108,13,0,0,0,0,1,6,30,0,0,0,0,0,10,9,8,8
17,37,259,31,1079,134,7,86,688,202,122,84,52,48,1,2,67,43,12,0,0,0,0,1,6,30,0,0,0,0,0,10,9,8,8
